,INDEX_COLUMN,DESTPORT,PROTOCOL,SERVICE
61,61,443,UDP,HTTPS
62,62,443,TCP,HTTPS
63,63,443,TCP,HTTPS
64,64,443,UDP,HTTPS
65,65,443,UDP,HTTPS
66,66,80,TCP,HTTP
67,67,80,TCP,HTTP
68,68,443,TCP,HTTPS
69,69,443,TCP,HTTPS
70,70,80,TCP,HTTP
71,71,80,TCP,HTTP
72,72,5060,UDP,SIP
73,73,5060,UDP,SIP
74,74,5060,UDP,SIP
75,75,5060,UDP,SIP
76,76,443,TCP,HTTPS
77,77,443,TCP,HTTPS
78,78,443,TCP,HTTPS
79,79,443,TCP,HTTPS
80,80,80,TCP,HTTP
81,81,80,TCP,HTTP
82,82,443,TCP,HTTPS
83,83,443,TCP,HTTPS
84,84,443,TCP,HTTPS
85,85,443,TCP,HTTPS
86,86,443,UDP,HTTPS
87,87,443,UDP,HTTPS
88,88,5060,UDP,SIP
89,89,5060,UDP,SIP
90,90,443,TCP,HTTPS
91,91,443,TCP,HTTPS
92,92,5060,UDP,SIP
93,93,5060,UDP,SIP
94,94,3128,TCP,HTTP
95,95,443,TCP,HTTPS
96,96,443,TCP,HTTPS
97,97,80,TCP,HTTP
98,98,80,TCP,HTTP
99,99,80,TCP,HTTP
100,100,80,TCP,HTTP
101,101,443,TCP,HTTPS
102,102,443,TCP,HTTPS
103,103,443,TCP,HTTPS
104,104,443,TCP,HTTPS
105,105,443,TCP,HTTPS
106,106,443,TCP,HTTPS
107,107,443,TCP,HTTPS
108,108,80,TCP,HTTP
109,109,80,TCP,HTTP
110,110,53,UDP,DNS
111,111,53,UDP,DNS
112,112,5060,UDP,SIP
113,113,5060,UDP,SIP
114,114,443,TCP,HTTPS
115,115,443,TCP,HTTPS
116,116,80,TCP,HTTP
117,117,80,TCP,HTTP
118,118,443,TCP,HTTPS
119,119,443,TCP,HTTPS
120,120,443,TCP,HTTPS
121,121,443,TCP,HTTPS
122,122,443,TCP,HTTPS
123,123,443,TCP,HTTPS
124,124,443,TCP,HTTPS
125,125,443,TCP,HTTPS
126,126,443,TCP,HTTPS
127,127,443,TCP,HTTPS
128,128,443,TCP,HTTPS
129,129,443,TCP,HTTPS
130,130,5060,UDP,SIP
131,131,5060,UDP,SIP
132,132,443,TCP,HTTPS
133,133,443,TCP,HTTPS
134,134,443,TCP,HTTPS
135,135,443,TCP,HTTPS
136,136,443,TCP,HTTPS
137,137,443,TCP,HTTPS
138,138,443,UDP,HTTPS
139,139,443,UDP,HTTPS
140,140,443,TCP,HTTPS
141,141,443,TCP,HTTPS
142,142,80,TCP,HTTP
143,143,80,TCP,HTTP
144,144,443,TCP,HTTPS
145,145,443,TCP,HTTPS
146,146,443,TCP,HTTPS
147,147,443,TCP,HTTPS
148,148,443,UDP,HTTPS
149,149,443,UDP,HTTPS
150,150,80,TCP,HTTP
151,151,80,TCP,HTTP
152,152,443,TCP,HTTPS
153,153,443,TCP,HTTPS
154,154,443,UDP,HTTPS
155,155,443,UDP,HTTPS
156,156,443,TCP,HTTPS
157,157,443,TCP,HTTPS
158,158,443,TCP,HTTPS
159,159,443,TCP,HTTPS
160,160,443,TCP,HTTPS
161,161,443,TCP,HTTPS
162,162,443,TCP,HTTPS
163,163,443,TCP,HTTPS
164,164,443,TCP,HTTPS
165,165,443,TCP,HTTPS
166,166,80,TCP,HTTP
167,167,80,TCP,HTTP
168,168,80,TCP,HTTP
169,169,80,TCP,HTTP
170,170,443,TCP,HTTPS
171,171,443,TCP,HTTPS
172,172,443,UDP,HTTPS
173,173,443,UDP,HTTPS
174,174,443,TCP,HTTPS
175,175,443,TCP,HTTPS
176,176,443,TCP,HTTPS
177,177,443,TCP,HTTPS
178,178,443,TCP,HTTPS
179,179,443,TCP,HTTPS
180,180,443,UDP,HTTPS
181,181,443,UDP,HTTPS
182,182,443,TCP,HTTPS
183,183,443,TCP,HTTPS
184,184,443,TCP,HTTPS
185,185,443,TCP,HTTPS
186,186,443,TCP,HTTPS
187,187,443,TCP,HTTPS
188,188,443,TCP,HTTPS
189,189,443,TCP,HTTPS
190,190,443,TCP,HTTPS
191,191,443,TCP,HTTPS
192,192,443,UDP,HTTPS
193,193,443,UDP,HTTPS
194,194,443,UDP,HTTPS
195,195,443,UDP,HTTPS
196,196,80,TCP,HTTP
197,197,80,TCP,HTTP
198,198,443,UDP,HTTPS
199,199,443,UDP,HTTPS
200,200,53,UDP,DNS
201,201,443,UDP,HTTPS
202,202,443,UDP,HTTPS
203,203,5060,UDP,SIP
204,204,5060,UDP,SIP
205,205,80,TCP,HTTP
206,206,80,TCP,HTTP
207,207,80,TCP,HTTP
208,208,80,TCP,HTTP
209,209,443,TCP,HTTPS
210,210,443,TCP,HTTPS
211,211,443,TCP,HTTPS
212,212,443,TCP,HTTPS
213,213,443,TCP,HTTPS
214,214,443,TCP,HTTPS
215,215,443,TCP,HTTPS
216,216,443,TCP,HTTPS
217,217,443,TCP,HTTPS
218,218,443,TCP,HTTPS
219,219,443,TCP,HTTPS
220,220,443,TCP,HTTPS
221,221,443,TCP,HTTPS
222,222,443,TCP,HTTPS
223,223,443,TCP,HTTPS
224,224,443,UDP,HTTPS
225,225,443,UDP,HTTPS
226,226,443,TCP,HTTPS
227,227,443,TCP,HTTPS
228,228,443,TCP,HTTPS
229,229,443,TCP,HTTPS
230,230,443,TCP,HTTPS
231,231,443,TCP,HTTPS
232,232,443,TCP,HTTPS
233,233,443,TCP,HTTPS
234,234,161,UDP,SNMP
235,235,161,UDP,SNMP
236,236,443,UDP,HTTPS
237,237,443,UDP,HTTPS
238,238,500,UDP,ISAKMP
239,239,443,TCP,HTTPS
240,240,443,TCP,HTTPS
241,241,443,TCP,HTTPS
242,242,443,TCP,HTTPS
243,243,443,TCP,HTTPS
244,244,443,TCP,HTTPS
245,245,443,TCP,HTTPS
246,246,443,TCP,HTTPS
247,247,443,TCP,HTTPS
248,248,443,TCP,HTTPS
249,249,443,TCP,HTTPS
250,250,443,TCP,HTTPS
251,251,443,TCP,HTTPS
252,252,443,TCP,HTTPS
253,253,5060,UDP,SIP
254,254,5060,UDP,SIP
255,255,443,TCP,HTTPS
256,256,443,TCP,HTTPS
257,257,443,TCP,HTTPS
258,258,443,TCP,HTTPS
259,259,443,TCP,HTTPS
260,260,443,TCP,HTTPS
261,261,443,TCP,HTTPS
262,262,443,TCP,HTTPS
263,263,3128,TCP,HTTP
264,264,443,TCP,HTTPS
265,265,443,TCP,HTTPS
266,266,443,UDP,HTTPS
267,267,443,UDP,HTTPS
268,268,443,TCP,HTTPS
269,269,443,TCP,HTTPS
270,270,443,TCP,HTTPS
271,271,443,TCP,HTTPS
272,272,443,TCP,HTTPS
273,273,443,TCP,HTTPS
274,274,443,TCP,HTTPS
275,275,443,TCP,HTTPS
276,276,443,TCP,HTTPS
277,277,443,TCP,HTTPS
278,278,443,TCP,HTTPS
279,279,443,TCP,HTTPS
280,280,443,TCP,HTTPS
281,281,443,TCP,HTTPS
282,282,443,TCP,HTTPS
283,283,443,TCP,HTTPS
284,284,443,UDP,HTTPS
285,285,443,UDP,HTTPS
286,286,443,TCP,HTTPS
287,287,443,TCP,HTTPS
288,288,443,UDP,HTTPS
289,289,443,UDP,HTTPS
290,290,443,UDP,HTTPS
291,291,443,UDP,HTTPS
292,292,443,TCP,HTTPS
293,293,443,TCP,HTTPS
294,294,443,TCP,HTTPS
295,295,443,TCP,HTTPS
296,296,443,TCP,HTTPS
297,297,443,TCP,HTTPS
298,298,443,TCP,HTTPS
299,299,443,UDP,HTTPS
300,300,443,UDP,HTTPS
301,301,443,TCP,HTTPS
302,302,443,TCP,HTTPS
303,303,443,UDP,HTTPS
304,304,443,UDP,HTTPS
305,305,443,TCP,HTTPS
306,306,443,TCP,HTTPS
307,307,443,TCP,HTTPS
308,308,443,TCP,HTTPS
309,309,443,TCP,HTTPS
310,310,443,TCP,HTTPS
311,311,443,TCP,HTTPS
312,312,443,TCP,HTTPS
313,313,443,UDP,HTTPS
314,314,443,UDP,HTTPS
315,315,443,UDP,HTTPS
316,316,443,UDP,HTTPS
317,317,443,TCP,HTTPS
318,318,443,TCP,HTTPS
319,319,80,TCP,HTTP
320,320,80,TCP,HTTP
321,321,443,TCP,HTTPS
322,322,443,TCP,HTTPS
323,323,443,UDP,HTTPS
324,324,443,UDP,HTTPS
325,325,443,TCP,HTTPS
326,326,443,TCP,HTTPS
327,327,443,TCP,HTTPS
328,328,443,TCP,HTTPS
329,329,80,TCP,HTTP
330,330,80,TCP,HTTP
331,331,443,TCP,HTTPS
332,332,443,TCP,HTTPS
333,333,443,TCP,HTTPS
334,334,443,TCP,HTTPS
335,335,443,UDP,HTTPS
336,336,443,UDP,HTTPS
337,337,443,TCP,HTTPS
338,338,443,TCP,HTTPS
339,339,443,TCP,HTTPS
340,340,443,TCP,HTTPS
341,341,443,TCP,HTTPS
342,342,443,TCP,HTTPS
343,343,443,TCP,HTTPS
344,344,443,TCP,HTTPS
345,345,443,TCP,HTTPS
346,346,443,TCP,HTTPS
347,347,443,TCP,HTTPS
348,348,443,TCP,HTTPS
349,349,443,TCP,HTTPS
350,350,443,TCP,HTTPS
351,351,443,TCP,HTTPS
352,352,443,TCP,HTTPS
353,353,443,TCP,HTTPS
354,354,443,TCP,HTTPS
355,355,443,TCP,HTTPS
356,356,443,TCP,HTTPS
357,357,443,TCP,HTTPS
358,358,443,TCP,HTTPS
359,359,443,TCP,HTTPS
360,360,443,TCP,HTTPS
361,361,443,TCP,HTTPS
362,362,443,TCP,HTTPS
363,363,443,TCP,HTTPS
364,364,443,TCP,HTTPS
365,365,443,TCP,HTTPS
366,366,443,TCP,HTTPS
367,367,443,TCP,HTTPS
368,368,443,TCP,HTTPS
369,369,443,TCP,HTTPS
370,370,443,TCP,HTTPS
371,371,443,TCP,HTTPS
372,372,443,TCP,HTTPS
373,373,443,TCP,HTTPS
374,374,443,TCP,HTTPS
375,375,443,UDP,HTTPS
376,376,443,UDP,HTTPS
377,377,443,TCP,HTTPS
378,378,443,TCP,HTTPS
379,379,443,TCP,HTTPS
380,380,443,TCP,HTTPS
381,381,443,TCP,HTTPS
382,382,443,TCP,HTTPS
383,383,443,TCP,HTTPS
384,384,443,TCP,HTTPS
385,385,443,TCP,HTTPS
386,386,443,TCP,HTTPS
387,387,443,TCP,HTTPS
388,388,443,TCP,HTTPS
389,389,443,TCP,HTTPS
390,390,443,TCP,HTTPS
391,391,443,TCP,HTTPS
392,392,443,TCP,HTTPS
393,393,443,TCP,HTTPS
394,394,443,TCP,HTTPS
395,395,443,TCP,HTTPS
396,396,443,TCP,HTTPS
397,397,443,TCP,HTTPS
398,398,443,TCP,HTTPS
399,399,443,TCP,HTTPS
400,400,443,TCP,HTTPS
401,401,443,TCP,HTTPS
402,402,443,TCP,HTTPS
403,403,443,TCP,HTTPS
404,404,443,TCP,HTTPS
405,405,443,TCP,HTTPS
406,406,443,TCP,HTTPS
407,407,443,TCP,HTTPS
408,408,443,TCP,HTTPS
409,409,443,TCP,HTTPS
410,410,443,TCP,HTTPS
411,411,443,TCP,HTTPS
412,412,443,TCP,HTTPS
413,413,443,TCP,HTTPS
414,414,443,TCP,HTTPS
415,415,443,TCP,HTTPS
416,416,443,TCP,HTTPS
417,417,443,TCP,HTTPS
418,418,443,TCP,HTTPS
419,419,443,TCP,HTTPS
420,420,443,TCP,HTTPS
421,421,80,TCP,HTTP
422,422,80,TCP,HTTP
423,423,443,TCP,HTTPS
424,424,443,TCP,HTTPS
425,425,443,TCP,HTTPS
426,426,443,TCP,HTTPS
427,427,443,TCP,HTTPS
428,428,443,TCP,HTTPS
429,429,443,TCP,HTTPS
430,430,443,TCP,HTTPS
431,431,443,TCP,HTTPS
432,432,443,TCP,HTTPS
433,433,443,TCP,HTTPS
434,434,443,TCP,HTTPS
435,435,443,TCP,HTTPS
436,436,443,TCP,HTTPS
437,437,443,TCP,HTTPS
438,438,443,TCP,HTTPS
439,439,80,TCP,HTTP
440,440,80,TCP,HTTP
441,441,443,TCP,HTTPS
442,442,443,TCP,HTTPS
443,443,443,TCP,HTTPS
444,444,443,TCP,HTTPS
445,445,80,TCP,HTTP
446,446,80,TCP,HTTP
447,447,443,TCP,HTTPS
448,448,443,TCP,HTTPS
449,449,80,TCP,HTTP
450,450,80,TCP,HTTP
451,451,443,TCP,HTTPS
452,452,443,TCP,HTTPS
453,453,443,TCP,HTTPS
454,454,443,TCP,HTTPS
455,455,443,TCP,HTTPS
456,456,443,TCP,HTTPS
457,457,443,TCP,HTTPS
458,458,443,TCP,HTTPS
459,459,443,UDP,HTTPS
460,460,443,UDP,HTTPS
461,461,80,TCP,HTTP
462,462,80,TCP,HTTP
463,463,443,UDP,HTTPS
464,464,443,UDP,HTTPS
465,465,443,TCP,HTTPS
466,466,443,TCP,HTTPS
467,467,443,TCP,HTTPS
468,468,443,TCP,HTTPS
469,469,3128,TCP,HTTP
470,470,443,TCP,HTTPS
471,471,443,TCP,HTTPS
472,472,80,TCP,HTTP
473,473,80,TCP,HTTP
474,474,443,TCP,HTTPS
475,475,443,TCP,HTTPS
476,476,443,TCP,HTTPS
477,477,443,TCP,HTTPS
478,478,443,TCP,HTTPS
479,479,443,TCP,HTTPS
480,480,443,TCP,HTTPS
481,481,443,TCP,HTTPS
482,482,80,TCP,HTTP
483,483,80,TCP,HTTP
484,484,80,TCP,HTTP
485,485,80,TCP,HTTP
486,486,443,TCP,HTTPS
487,487,443,TCP,HTTPS
488,488,443,TCP,HTTPS
489,489,443,TCP,HTTPS
490,490,443,TCP,HTTPS
491,491,443,TCP,HTTPS
492,492,443,TCP,HTTPS
493,493,443,TCP,HTTPS
494,494,443,TCP,HTTPS
495,495,443,TCP,HTTPS
496,496,443,TCP,HTTPS
497,497,443,TCP,HTTPS
498,498,443,TCP,HTTPS
499,499,443,TCP,HTTPS
500,500,443,TCP,HTTPS
501,501,443,TCP,HTTPS
502,502,443,TCP,HTTPS
503,503,443,TCP,HTTPS
504,504,443,TCP,HTTPS
505,505,80,TCP,HTTP
506,506,80,TCP,HTTP
507,507,80,TCP,HTTP
508,508,80,TCP,HTTP
509,509,443,TCP,HTTPS
510,510,443,TCP,HTTPS
511,511,443,TCP,HTTPS
512,512,443,TCP,HTTPS
513,513,443,UDP,HTTPS
514,514,443,UDP,HTTPS
515,515,443,TCP,HTTPS
516,516,443,TCP,HTTPS
517,517,443,TCP,HTTPS
518,518,443,TCP,HTTPS
519,519,443,TCP,HTTPS
520,520,443,TCP,HTTPS
521,521,443,TCP,HTTPS
522,522,443,TCP,HTTPS
523,523,443,TCP,HTTPS
524,524,443,TCP,HTTPS
525,525,443,TCP,HTTPS
526,526,443,TCP,HTTPS
527,527,443,TCP,HTTPS
528,528,443,TCP,HTTPS
529,529,443,TCP,HTTPS
530,530,443,TCP,HTTPS
531,531,80,TCP,HTTP
532,532,80,TCP,HTTP
533,533,443,TCP,HTTPS
534,534,443,TCP,HTTPS
535,535,443,TCP,HTTPS
536,536,443,TCP,HTTPS
537,537,443,TCP,HTTPS
538,538,443,TCP,HTTPS
539,539,80,TCP,HTTP
540,540,80,TCP,HTTP
541,541,443,TCP,HTTPS
542,542,443,TCP,HTTPS
543,543,443,TCP,HTTPS
544,544,443,TCP,HTTPS
545,545,443,TCP,HTTPS
546,546,443,TCP,HTTPS
547,547,443,TCP,HTTPS
548,548,443,TCP,HTTPS
549,549,443,TCP,HTTPS
550,550,443,TCP,HTTPS
551,551,80,TCP,HTTP
552,552,80,TCP,HTTP
553,553,443,TCP,HTTPS
554,554,443,TCP,HTTPS
555,555,443,TCP,HTTPS
556,556,443,TCP,HTTPS
557,557,443,TCP,HTTPS
558,558,443,TCP,HTTPS
559,559,443,TCP,HTTPS
560,560,443,TCP,HTTPS
561,561,443,TCP,HTTPS
562,562,443,TCP,HTTPS
563,563,443,TCP,HTTPS
564,564,443,TCP,HTTPS
565,565,443,TCP,HTTPS
566,566,443,TCP,HTTPS
567,567,443,TCP,HTTPS
568,568,443,TCP,HTTPS
569,569,443,TCP,HTTPS
570,570,443,TCP,HTTPS
571,571,443,TCP,HTTPS
572,572,443,TCP,HTTPS
573,573,443,TCP,HTTPS
574,574,443,TCP,HTTPS
575,575,443,TCP,HTTPS
576,576,443,TCP,HTTPS
577,577,443,UDP,HTTPS
578,578,443,UDP,HTTPS
579,579,443,TCP,HTTPS
580,580,443,TCP,HTTPS
581,581,443,TCP,HTTPS
582,582,443,TCP,HTTPS
583,583,443,TCP,HTTPS
584,584,443,TCP,HTTPS
585,585,443,UDP,HTTPS
586,586,443,UDP,HTTPS
587,587,443,TCP,HTTPS
588,588,443,TCP,HTTPS
589,589,443,TCP,HTTPS
590,590,443,TCP,HTTPS
591,591,443,UDP,HTTPS
592,592,443,UDP,HTTPS
593,593,443,TCP,HTTPS
594,594,443,TCP,HTTPS
595,595,443,TCP,HTTPS
596,596,443,TCP,HTTPS
597,597,443,TCP,HTTPS
598,598,443,TCP,HTTPS
599,599,443,TCP,HTTPS
600,600,443,TCP,HTTPS
601,601,443,TCP,HTTPS
602,602,443,TCP,HTTPS
603,603,443,TCP,HTTPS
604,604,443,TCP,HTTPS
605,605,443,TCP,HTTPS
606,606,443,TCP,HTTPS
607,607,80,TCP,HTTP
608,608,80,TCP,HTTP
609,609,443,TCP,HTTPS
610,610,443,TCP,HTTPS
611,611,443,UDP,HTTPS
612,612,443,UDP,HTTPS
613,613,443,TCP,HTTPS
614,614,443,TCP,HTTPS
615,615,443,TCP,HTTPS
616,616,443,TCP,HTTPS
617,617,443,TCP,HTTPS
618,618,443,TCP,HTTPS
619,619,443,TCP,HTTPS
620,620,443,TCP,HTTPS
621,621,443,UDP,HTTPS
622,622,443,UDP,HTTPS
623,623,443,TCP,HTTPS
624,624,443,TCP,HTTPS
625,625,443,TCP,HTTPS
626,626,443,TCP,HTTPS
627,627,443,TCP,HTTPS
628,628,443,TCP,HTTPS
629,629,443,TCP,HTTPS
630,630,443,TCP,HTTPS
631,631,443,TCP,HTTPS
632,632,443,TCP,HTTPS
633,633,443,TCP,HTTPS
634,634,443,TCP,HTTPS
635,635,443,TCP,HTTPS
636,636,443,TCP,HTTPS
637,637,443,TCP,HTTPS
638,638,443,TCP,HTTPS
639,639,443,TCP,HTTPS
640,640,443,TCP,HTTPS
641,641,443,TCP,HTTPS
642,642,443,TCP,HTTPS
643,643,443,TCP,HTTPS
644,644,443,TCP,HTTPS
645,645,443,TCP,HTTPS
646,646,443,TCP,HTTPS
647,647,443,UDP,HTTPS
648,648,443,UDP,HTTPS
649,649,443,TCP,HTTPS
650,650,443,TCP,HTTPS
651,651,443,TCP,HTTPS
652,652,443,TCP,HTTPS
653,653,443,TCP,HTTPS
654,654,443,TCP,HTTPS
655,655,443,TCP,HTTPS
656,656,443,TCP,HTTPS
657,657,443,TCP,HTTPS
658,658,443,TCP,HTTPS
659,659,443,TCP,HTTPS
660,660,443,TCP,HTTPS
661,661,443,UDP,HTTPS
662,662,443,UDP,HTTPS
663,663,443,TCP,HTTPS
664,664,443,TCP,HTTPS
665,665,443,UDP,HTTPS
666,666,443,UDP,HTTPS
667,667,443,TCP,HTTPS
668,668,443,TCP,HTTPS
669,669,443,TCP,HTTPS
670,670,443,TCP,HTTPS
671,671,443,TCP,HTTPS
672,672,443,TCP,HTTPS
673,673,443,TCP,HTTPS
674,674,443,TCP,HTTPS
675,675,443,TCP,HTTPS
676,676,443,TCP,HTTPS
677,677,443,TCP,HTTPS
678,678,443,TCP,HTTPS
679,679,443,TCP,HTTPS
680,680,443,TCP,HTTPS
681,681,443,TCP,HTTPS
682,682,443,TCP,HTTPS
683,683,443,TCP,HTTPS
684,684,443,TCP,HTTPS
685,685,443,TCP,HTTPS
686,686,443,TCP,HTTPS
687,687,443,TCP,HTTPS
688,688,443,TCP,HTTPS
689,689,443,TCP,HTTPS
690,690,443,TCP,HTTPS
691,691,443,TCP,HTTPS
692,692,443,TCP,HTTPS
693,693,443,TCP,HTTPS
694,694,443,TCP,HTTPS
695,695,443,TCP,HTTPS
696,696,443,TCP,HTTPS
697,697,443,UDP,HTTPS
698,698,443,UDP,HTTPS
699,699,443,TCP,HTTPS
700,700,443,TCP,HTTPS
701,701,443,TCP,HTTPS
702,702,443,TCP,HTTPS
703,703,443,TCP,HTTPS
704,704,443,TCP,HTTPS
705,705,443,TCP,HTTPS
706,706,443,TCP,HTTPS
707,707,443,TCP,HTTPS
708,708,443,TCP,HTTPS
709,709,443,TCP,HTTPS
710,710,443,TCP,HTTPS
711,711,443,TCP,HTTPS
712,712,443,TCP,HTTPS
713,713,443,TCP,HTTPS
714,714,443,TCP,HTTPS
715,715,443,TCP,HTTPS
716,716,443,TCP,HTTPS
717,717,443,TCP,HTTPS
718,718,443,TCP,HTTPS
719,719,443,TCP,HTTPS
720,720,443,TCP,HTTPS
721,721,443,TCP,HTTPS
722,722,443,TCP,HTTPS
723,723,443,TCP,HTTPS
724,724,443,TCP,HTTPS
725,725,443,TCP,HTTPS
726,726,443,TCP,HTTPS
727,727,5222,TCP,XMPP
728,728,5222,TCP,XMPP
729,729,443,TCP,HTTPS
730,730,443,TCP,HTTPS
731,731,443,TCP,HTTPS
732,732,443,TCP,HTTPS
733,733,443,TCP,HTTPS
734,734,443,TCP,HTTPS
735,735,443,TCP,HTTPS
736,736,443,TCP,HTTPS
737,737,443,TCP,HTTPS
738,738,443,TCP,HTTPS
739,739,443,TCP,HTTPS
740,740,443,TCP,HTTPS
741,741,443,TCP,HTTPS
742,742,443,TCP,HTTPS
743,743,5222,TCP,XMPP
744,744,5222,TCP,XMPP
745,745,443,UDP,HTTPS
746,746,443,UDP,HTTPS
747,747,443,TCP,HTTPS
748,748,443,TCP,HTTPS
749,749,443,TCP,HTTPS
750,750,443,TCP,HTTPS
751,751,443,TCP,HTTPS
752,752,443,TCP,HTTPS
753,753,443,TCP,HTTPS
754,754,443,TCP,HTTPS
755,755,5222,TCP,XMPP
756,756,5222,TCP,XMPP
757,757,443,TCP,HTTPS
758,758,443,TCP,HTTPS
759,759,443,UDP,HTTPS
760,760,443,UDP,HTTPS
761,761,443,UDP,HTTPS
762,762,443,UDP,HTTPS
763,763,443,UDP,HTTPS
764,764,443,UDP,HTTPS
765,765,443,TCP,HTTPS
766,766,443,TCP,HTTPS
767,767,443,TCP,HTTPS
768,768,443,TCP,HTTPS
769,769,443,TCP,HTTPS
770,770,443,TCP,HTTPS
771,771,443,TCP,HTTPS
772,772,443,TCP,HTTPS
773,773,443,TCP,HTTPS
774,774,443,TCP,HTTPS
775,775,443,TCP,HTTPS
776,776,443,TCP,HTTPS
777,777,53,UDP,DNS
778,778,443,TCP,HTTPS
779,779,443,TCP,HTTPS
780,780,443,UDP,HTTPS
781,781,443,UDP,HTTPS
782,782,443,TCP,HTTPS
783,783,443,TCP,HTTPS
784,784,5222,TCP,XMPP
785,785,5222,TCP,XMPP
786,786,443,TCP,HTTPS
787,787,443,TCP,HTTPS
788,788,443,TCP,HTTPS
789,789,443,TCP,HTTPS
790,790,443,UDP,HTTPS
791,791,443,UDP,HTTPS
792,792,80,TCP,HTTP
793,793,80,TCP,HTTP
794,794,5222,TCP,XMPP
795,795,5222,TCP,XMPP
796,796,443,TCP,HTTPS
797,797,443,TCP,HTTPS
798,798,443,TCP,HTTPS
799,799,443,TCP,HTTPS
800,800,80,TCP,HTTP
801,801,80,TCP,HTTP
802,802,443,TCP,HTTPS
803,803,443,TCP,HTTPS
804,804,443,TCP,HTTPS
805,805,443,TCP,HTTPS
806,806,443,TCP,HTTPS
807,807,443,TCP,HTTPS
808,808,443,TCP,HTTPS
809,809,443,TCP,HTTPS
810,810,443,TCP,HTTPS
811,811,443,TCP,HTTPS
812,812,443,UDP,HTTPS
813,813,443,UDP,HTTPS
814,814,443,TCP,HTTPS
815,815,443,TCP,HTTPS
816,816,443,TCP,HTTPS
817,817,443,TCP,HTTPS
818,818,443,TCP,HTTPS
819,819,443,TCP,HTTPS
820,820,443,UDP,HTTPS
821,821,443,UDP,HTTPS
822,822,443,TCP,HTTPS
823,823,443,TCP,HTTPS
824,824,443,TCP,HTTPS
825,825,443,TCP,HTTPS
826,826,443,TCP,HTTPS
827,827,443,TCP,HTTPS
828,828,443,TCP,HTTPS
829,829,443,TCP,HTTPS
830,830,443,TCP,HTTPS
831,831,443,TCP,HTTPS
832,832,443,TCP,HTTPS
833,833,443,TCP,HTTPS
834,834,443,TCP,HTTPS
835,835,443,TCP,HTTPS
836,836,443,TCP,HTTPS
837,837,443,TCP,HTTPS
838,838,443,TCP,HTTPS
839,839,443,TCP,HTTPS
840,840,443,TCP,HTTPS
841,841,443,TCP,HTTPS
842,842,443,TCP,HTTPS
843,843,443,TCP,HTTPS
844,844,443,TCP,HTTPS
845,845,443,TCP,HTTPS
846,846,443,TCP,HTTPS
847,847,443,TCP,HTTPS
848,848,443,TCP,HTTPS
849,849,443,TCP,HTTPS
850,850,443,TCP,HTTPS
851,851,443,TCP,HTTPS
852,852,443,TCP,HTTPS
853,853,443,TCP,HTTPS
854,854,443,TCP,HTTPS
855,855,443,TCP,HTTPS
856,856,443,TCP,HTTPS
857,857,443,TCP,HTTPS
858,858,443,TCP,HTTPS
859,859,443,TCP,HTTPS
860,860,443,TCP,HTTPS
861,861,443,TCP,HTTPS
862,862,443,TCP,HTTPS
863,863,443,TCP,HTTPS
864,864,443,TCP,HTTPS
865,865,443,TCP,HTTPS
866,866,443,TCP,HTTPS
867,867,443,TCP,HTTPS
868,868,443,TCP,HTTPS
869,869,443,TCP,HTTPS
870,870,443,TCP,HTTPS
871,871,443,TCP,HTTPS
872,872,443,TCP,HTTPS
873,873,443,TCP,HTTPS
874,874,443,TCP,HTTPS
875,875,443,TCP,HTTPS
876,876,443,TCP,HTTPS
